store,addr,prov,area,div
진해,경남 창원시 진해구 벚꽃로 68-1,경남,창원시 진해구,경남 창원시 진해구
중계역,서울 노원구 동일로 1341 장우빌딩 1층,서울,노원구,서울 노원구
포항 2,경북 포항시 북구 중앙로 291,경북,포항시 북구,경북 포항시 북구
화정역,경기 고양시 덕양구 화신로272번길 67,경기,고양시 덕양구,경기 고양시 덕양구
광명역점,경기 광명시 광명로 895-1 (광명동),경기,광명시,경기 광명시
구의역,서울 광진구 아차산로 376,서울,광진구,서울 광진구
동성로 2,대구 중구 동성로 23-2,대구,중구,대구 중구
토곡,부산 연제구 과정로 226,부산,연제구,부산 연제구
안양,경기 안양시 만안구 안양로292번길 22,경기,안양시 만안구,경기 안양시 만안구
신마산,경남 창원시 마산합포구 월영동서로 20,경남,창원시 마산합포구,경남 창원시 마산합포구
부곡,부산 금정구 수림로 12 에스케이아파트 상가 맥도날드,부산,금정구,부산 금정구
좌동 1,부산 해운대구 좌동순환로 181,부산,해운대구,부산 해운대구
목동,서울 양천구 목동로 221,서울,양천구,서울 양천구
중랑,서울 중랑구 망우로 202 동성빌딩,서울,중랑구,서울 중랑구
경성대,부산 남구 수영로 304 대승타워1층,부산,남구,부산 남구
동아대,부산 사하구 낙동대로 548,부산,사하구,부산 사하구
부산대 2,부산 금정구 금정로60번길 24 해자빌딩 1층 맥도날드 부산대2호점,부산,금정구,부산 금정구
세이브존 대전점,대전 서구 둔산로 201 (하계동),대전,서구,대전 서구
세이브존 광명,경기 광명시 철망산로 87,경기,광명시,경기 광명시
중계,서울 노원구 중계로 218,서울,노원구,서울 노원구
삼선,서울 성북구 동소문로 13 일화빌딩 1층,서울,성북구,서울 성북구
당감 DT,부산 부산진구 동평로 91,부산,부산진구,부산 부산진구
주례,부산 사상구 가야대로 368,부산,사상구,부산 사상구
영등포,서울 영등포구 경인로 855,서울,영등포구,서울 영등포구
경주,경북 경주시 중앙로 35,경북,경주시,경북 경주시
신림,서울 관악구 신림로 310,서울,관악구,서울 관악구
안암,서울 성북구 고려대로24길 42 방주빌딩,서울,성북구,서울 성북구
사직점,부산 동래구 사직북로 1 (사직동),부산,동래구,부산 동래구
